breadcrumbs,primary_image_url,brand,product_name,price,reviews,colour,sizes,description,sku,product_id,product_url,image_urls,scraped_at
,#,,,0.0,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"Cream / XS - Rs. 14,300.00",peplum-zip-up-cream,https://carbon38.com/en-in/products/peplum-zip-up-cream,,2025-06-25T18:19:03.264213
,#,,,0.0,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"Moonbeam Heather / XS - Rs. 12,000.00",half-zip-asymmetrical-pullover-moonbeam-heather,https://carbon38.com/en-in/products/half-zip-asymmetrical-pullover-moonbeam-heather,,2025-06-25T18:19:27.699796
,#,,,,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"Ivory / XS - Rs. 10,300.00",milano-half-zip-sweat-ivory,https://carbon38.com/en-in/products/milano-half-zip-sweat-ivory,,2025-06-25T18:19:30.138067
,#,,,,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"BLACK / XXS - Rs. 4,300.00",tank-in-diamond-compression-black,https://carbon38.com/en-in/products/tank-in-diamond-compression-black,,2025-06-25T18:19:40.577554
,#,,,0.0,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"BLACK / XXS - Rs. 3,600.00",ribbed-tank-1-black,https://carbon38.com/en-in/products/ribbed-tank-1-black,,2025-06-25T18:19:42.532402
,#,,,,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"Off White / XS - Rs. 12,800.00",ludo-blouse-off-white,https://carbon38.com/en-in/products/ludo-blouse-off-white,,2025-06-25T18:19:50.557701
,#,,,,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"White / XS - Rs. 26,000.00",atlas-bow-scuba-top-white,https://carbon38.com/en-in/products/atlas-bow-scuba-top-white,,2025-06-25T18:19:52.485309
,#,,,,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"Mandarine/Gold / XS - Rs. 27,000.00",nomia-plaid-pearly-cardigan-mandarine-gold,https://carbon38.com/en-in/products/nomia-plaid-pearly-cardigan-mandarine-gold,,2025-06-25T18:20:03.582938
,#,,,,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"Bright Green/Carbon / XS - Rs. 9,500.00",asmc-high-neck-crop-top-bright-green-carbon,https://carbon38.com/en-in/products/asmc-high-neck-crop-top-bright-green-carbon,,2025-06-25T18:20:06.188774
,#,,,0.0,0,,,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,"Velvet Green / XS - Rs. 5,500.00",long-racerback-tank-velvet-green,https://carbon38.com/en-in/products/long-racerback-tank-velvet-green,,2025-06-25T18:20:14.534871
