product_name,brand,price,sku,product_id,description,reviews,colour,sizes,breadcrumbs,primary_image_url,image_urls,product_url
,,,"Cloud Dancer / XS - Rs. 7,400.00",bike-short-in-melt-cloud-dancer,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/bike-short-in-melt-cloud-dancer
,,,"Deep Lagoon / XS - Rs. 8,700.00",high-rise-full-length-legging-in-diamond-compression-deep-lagoon,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-full-length-legging-in-diamond-compression-deep-lagoon
,,,"Abstract / XS - Rs. 11,400.00",cavallo-28in-pant-abstract,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/cavallo-28in-pant-abstract
,,,"Off White / XS - Rs. 12,800.00",ludo-blouse-off-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ludo-blouse-off-white
,,,"White / XS - Rs. 26,000.00",atlas-bow-scuba-top-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/atlas-bow-scuba-top-white
,,,"Mandarine/Gold / XS - Rs. 27,000.00",nomia-plaid-pearly-cardigan-mandarine-gold,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/nomia-plaid-pearly-cardigan-mandarine-gold
,,,"Bright Green/Carbon / XS - Rs. 9,500.00",asmc-high-neck-crop-top-bright-green-carbon,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/asmc-high-neck-crop-top-bright-green-carbon
,,,"Velvet Green / XS - Rs. 5,500.00",long-racerback-tank-velvet-green,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/long-racerback-tank-velvet-green
,,,"Black / XS - Rs. 22,900.00",nomai-sheer-sleeve-mock-neck-sweater-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/nomai-sheer-sleeve-mock-neck-sweater-black
,,,"Spectrum Blue / XXS - Rs. 9,300.00",1,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/classic-soleil-sport-crew-neck-sweatshirt-spectrum-blue-1
,,,"Cream / XS - Rs. 12,700.00",varsity-cable-knit-cardigan-cream,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/varsity-cable-knit-cardigan-cream
,,,"Pumice Stone / XXS - Rs. 6,000.00",lenox-knit-corset-tank-pumice-stone,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/lenox-knit-corset-tank-pumice-stone
,,,"Breton Stripe Cream/Blue / 34 - Rs. 23,300.00",mimi-long-sleeve-knit-sweater-breton-stripe-cream-blue,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/mimi-long-sleeve-knit-sweater-breton-stripe-cream-blue
,,,"Rose Cloud / XS - Rs. 13,600.00",pearl-embellished-sweater-rose-cloud,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/pearl-embellished-sweater-rose-cloud
,,,"SWEET LILAC / S - Rs. 14,400.00",serena-sweet-lilac,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/serena-sweet-lilac
,,,"Off White / XS - Rs. 10,900.00",hunter-top-off-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/hunter-top-off-white
